1	0.000000000	VMware_c0:00:08	Broadcast	ARP	60	Who has 192.168.222.2? Tell 192.168.222.1
169	35.914247976	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 41a4c342-0ac0-4f17-8043-2c02239db673.local, "QM" question
170	35.914248434	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 41a4c342-0ac0-4f17-8043-2c02239db673.local, "QM" question
171	37.026234646	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 76735e41-d1d0-4fa5-86d9-5ac3e992aeaa.local, "QM" question
172	37.026235226	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 76735e41-d1d0-4fa5-86d9-5ac3e992aeaa.local, "QM" question
173	37.560917413	VMware_5f:8f:61	VMware_fd:e0:e2	ARP	42	Who has 192.168.222.2? Tell 192.168.222.131
174	37.561639099	VMware_fd:e0:e2	VMware_5f:8f:61	ARP	60	192.168.222.2 is at 00:50:56:fd:e0:e2
175	37.714040065	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e473f4b6-d3fe-4158-a1cb-101b52e4ba5d.local, "QM" question
176	37.714041002	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e473f4b6-d3fe-4158-a1cb-101b52e4ba5d.local, "QM" question
177	38.078624293	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 0aeeb18c-fb90-454a-8401-562d2bcdc1fd.local, "QM" question
178	38.078624825	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 0aeeb18c-fb90-454a-8401-562d2bcdc1fd.local, "QM" question
179	38.080119184	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A ea21bfa1-ed0f-48d1-839e-36aff170e372.local, "QM" question
180	38.080119655	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A ea21bfa1-ed0f-48d1-839e-36aff170e372.local, "QM" question
181	38.098656661	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A d43e496b-81d1-430e-baf0-fa60c0ac6192.local, "QM" question
182	38.098657127	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A d43e496b-81d1-430e-baf0-fa60c0ac6192.local, "QM" question
183	38.146362280	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 7aa89905-fbab-4bae-9635-97b0ae90885d.local, "QM" question
184	38.146362656	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 7aa89905-fbab-4bae-9635-97b0ae90885d.local, "QM" question
185	38.299403061	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 2e30b132-aecb-40de-b162-be7970d34cb3.local, "QM" question
186	38.299403501	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 2e30b132-aecb-40de-b162-be7970d34cb3.local, "QM" question
187	38.301264009	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 6fa4769a-9241-47d0-a360-632ef66a989c.local, "QM" question
188	38.301854300	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 6fa4769a-9241-47d0-a360-632ef66a989c.local, "QM" question
189	39.113857731	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 86eaacc7-e9f7-4c4c-95cb-217723b4f4bf.local, "QM" question
190	39.113858203	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 86eaacc7-e9f7-4c4c-95cb-217723b4f4bf.local, "QM" question
191	39.264407668	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 4c9ddd6a-4cfc-4ea3-ab0d-94b05fce165b.local, "QM" question
192	39.264408159	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 4c9ddd6a-4cfc-4ea3-ab0d-94b05fce165b.local, "QM" question
193	39.829942086	fe80::a28d:6c84:bba1:6b45	ff02::2	ICMPv6	62	Router Solicitation
194	41.813734387	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 22839080-9bc8-4a4f-8d81-c61af7c715b0.local, "QM" question
195	41.813734818	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 22839080-9bc8-4a4f-8d81-c61af7c715b0.local, "QM" question
196	41.815372499	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 89a4e752-c7fc-474e-9d82-64d6f405ee4d.local, "QM" question
197	41.815373335	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 89a4e752-c7fc-474e-9d82-64d6f405ee4d.local, "QM" question
198	42.683027847	192.168.222.131	34.107.221.82	TCP	54	[TCP Dup ACK 10#4] 43064 → 80 [ACK] Seq=1 Ack=1 Win=64024 Len=0
199	42.683245249	34.107.221.82	192.168.222.131	TCP	60	[TCP Dup ACK 11#4] [TCP ACKed unseen segment] 80 → 43064 [ACK] Seq=1 Ack=2 Win=64240 Len=0
200	43.116121566	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 84ffbdb7-678e-4fb6-966a-e1895027175e.local, "QM" question
201	43.116370937	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 84ffbdb7-678e-4fb6-966a-e1895027175e.local, "QM" question
202	43.308731139	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 3a033b4d-9a2b-43c5-946e-b60aa5026da5.local, "QM" question
203	43.308732248	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 3a033b4d-9a2b-43c5-946e-b60aa5026da5.local, "QM" question
204	43.310838146	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 9f92c72f-51ef-464e-b3a7-fa29057c7279.local, "QM" question
205	43.310838576	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 9f92c72f-51ef-464e-b3a7-fa29057c7279.local, "QM" question
206	44.313057444	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 2047a088-9d58-4f36-b526-dee7b190f447.local, "QM" question
207	44.313057837	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 2047a088-9d58-4f36-b526-dee7b190f447.local, "QM" question
208	45.215477829	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 451889e6-1d0a-4d97-a047-9ab26418459e.local, "QM" question
209	45.215478290	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 451889e6-1d0a-4d97-a047-9ab26418459e.local, "QM" question
210	45.217076988	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 1eea9a39-df3b-48b9-ad48-563d8bba8eaf.local, "QM" question
211	45.217077366	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 1eea9a39-df3b-48b9-ad48-563d8bba8eaf.local, "QM" question
212	45.521031470	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b8b84d0f-9b0f-4e82-a7e6-0fd343c6d60d.local, "QM" question
213	45.521031889	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b8b84d0f-9b0f-4e82-a7e6-0fd343c6d60d.local, "QM" question
214	46.213292091	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 0b20b620-3a2b-44d3-b98e-a82b61962fad.local, "QM" question
215	46.213292524	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 0b20b620-3a2b-44d3-b98e-a82b61962fad.local, "QM" question
216	47.092614684	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A a5b0fd38-a700-487f-9e88-266f42737a8c.local, "QM" question
217	47.092615357	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A a5b0fd38-a700-487f-9e88-266f42737a8c.local, "QM" question
218	47.094349154	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b3bb571a-129a-400b-b1dc-6a218b822fe9.local, "QM" question
219	47.094349597	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b3bb571a-129a-400b-b1dc-6a218b822fe9.local, "QM" question
220	47.590636749	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b79b6d4f-4b6e-4c71-b55c-8b72752411f6.local, "QM" question
221	47.590637577	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b79b6d4f-4b6e-4c71-b55c-8b72752411f6.local, "QM" question
222	47.592401438	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 50517cd8-b13e-4772-a2cb-dc6f4e656b17.local, "QM" question
223	47.592401858	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 50517cd8-b13e-4772-a2cb-dc6f4e656b17.local, "QM" question
224	48.244028153	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 42e71ae6-d994-4e4f-bf99-5c2e9bde3fbe.local, "QM" question
225	48.244028555	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 42e71ae6-d994-4e4f-bf99-5c2e9bde3fbe.local, "QM" question
226	50.417445453	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A c81f61fd-f3cc-48a8-aa9c-6a0a489bed9d.local, "QM" question
227	50.417446310	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A c81f61fd-f3cc-48a8-aa9c-6a0a489bed9d.local, "QM" question
228	50.418806818	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 4c92107b-6484-4e25-9bbc-98d96e9dba67.local, "QM" question
229	50.419032225	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 4c92107b-6484-4e25-9bbc-98d96e9dba67.local, "QM" question
